gauge_id,ri_5,ri_10,ri_50,ri_500
11284400,1647,2131,6916,12844
6632400,1759,2052,2786,3799
6037500,1711,2072,2521,3271
1613050,656,859,1779,3728
10258000,353,1294,3876,21177
2310947,1435,1978,3282,4749
2381600,1392,1864,3318,6262
11475560,1233,1408,2877,6045
14158500,1985,2263,2965,3836
11253310,787,1663,4498,10691
1142500,1093,1628,2473,4513
4124000,2793,3049,3436,3966
11230500,1165,1586,2456,4266
1485500,1210,1748,2925,5778
6339100,1627,2312,5353,8607
8378500,1100,1462,2613,4470
4296000,2664,3345,4013,5134
1658500,992,1180,2690,5432
6431500,636,962,2881,10799
6344600,1752,1973,6075,10249
14158790,1630,2000,2906,4547
5393500,2301,2962,3844,4973
1333000,2236,2727,4087,5993
12115500,2541,3261,4493,6414
10396000,2343,2750,4154,6070
11274630,917,1589,4939,11276
3076600,1987,2456,3713,4958
9081600,2900,3167,4192,5366
8324000,2477,3107,4945,8073
10242000,1750,2360,4199,7826
5123400,1830,2781,6153,15105
11237500,1059,1650,3582,8702
1545600,1514,2593,4093,8723
6224000,3059,3436,4501,6047
3011800,2150,3010,4520,7989
5087500,2081,2576,4988,7805
1134500,2795,3083,4340,6066
4040500,2945,3315,4602,6278
3460000,2881,3393,4957,7109
7208500,313,467,1449,4353
1414500,2550,3080,4796,7831
8380500,1561,2864,6114,17183
2300700,2690,3830,6075,12594
6464500,1750,2340,4635,9764
11224500,1480,2469,8638,24416
1557500,2392,3015,4460,7071
14141500,2835,3833,5119,7606
4122200,2263,3390,4795,7767
1516500,1352,2210,3825,7943
1121000,1690,2480,4047,7615
2349900,2020,2760,5130,8709
12390700,2301,2856,4363,6692
9352900,1617,1849,3478,6047
4197100,3590,4300,5383,6740
1078000,2495,2824,4761,7711
3049800,555,1388,3072,10105
1415000,2283,2757,4503,7653
1139000,2660,3320,4737,7219
12488500,2500,3105,4695,7643
13011500,3390,3804,5008,6470
4122500,2595,2906,4109,5532
13331500,4280,4706,5918,7532
3504000,3406,4276,5528,7728
12145500,2778,3678,5075,7590
3028000,3725,4135,6293,9461
1549500,3132,3990,6165,10477
14020000,3421,4044,5840,9207
10258500,1859,3071,12361,32130
1567500,1290,2917,4964,12255
5057200,1280,2396,6247,16457
13313000,4375,4587,6204,8197
13011900,4980,5658,6418,7606
4233000,2257,3431,5538,10314
5454000,2950,3986,7507,13071
10259200,1180,1835,17241,71304
14138900,1713,2122,4088,7964
1439500,3065,4594,7617,15317
10263500,638,1537,5009,19514
5056000,2549,3793,7095,13323
4059500,3508,4310,5512,7103
13023000,4300,5010,6236,8008
10329500,1047,1803,4468,14119
1552500,2370,3500,5212,8466
3500240,2973,3444,5819,10070
1451800,4027,4707,6989,10710
2149000,4980,5452,7608,9756
4045500,5360,5899,7051,8435
5593900,3536,5040,6761,10381
2143040,3163,3732,6297,9173
14166500,4500,5423,7540,10407
3237280,2129,3567,5917,10654
1547700,2730,3429,6193,12829
6477500,2680,4835,18476,49559
12178100,3140,4100,6419,10686
1596500,2310,3265,5048,8850
5444000,4625,5300,8209,10921
12114500,3026,3826,6101,10534
11098000,1672,3153,7048,16784
2055100,1845,2380,5335,12340
3241500,2590,3583,5784,9602
2038850,1001,2652,5311,15899
12048000,4850,5900,8055,10894
3078000,2901,3658,5633,9070
4256000,2991,3368,5291,8436
11476600,4568,5861,8795,13451
1187300,1665,2358,4639,8513
3471500,2895,3795,5959,9430
2212600,4537,5567,8927,14862
4196800,5170,6390,8037,10117
1365000,4322,6362,8560,13629
1491000,3934,4961,7681,12323
2017500,4317,5000,7217,9950
6468170,2448,3453,11526,26161
4185000,5060,5908,7847,10309
3291780,5349,7078,8543,11202
3368000,2590,3156,5423,9541
5057000,3087,4917,8749,15947
3140000,2647,3817,6832,14485
2112360,5120,6215,8680,11966
2178400,4627,5687,8473,13311
12115000,4265,5261,7953,11717
1620500,1607,1980,5109,12831
1057000,3183,3626,6223,9526
11124500,3140,4541,10366,20517
11176400,4405,6757,15507,31156
2077200,3973,5377,9653,16744
11143000,4263,5087,8374,12675
6280300,5006,5806,7756,10286
2296500,3630,5900,9011,18299
12025700,4309,5323,8063,11822
1022500,6050,6825,8921,12157
12095000,4336,5776,8036,11797
13235000,6020,7050,8727,11433
3165000,3364,4805,7628,14087
14187000,4373,5561,8464,13581
6043500,6727,7541,9084,11346
6803510,3311,7273,12098,30886
12147500,6726,8193,10174,13656
2299950,3210,4850,8089,15036
2327100,3750,4680,7522,11673
11264500,4240,5214,8565,14242
1510000,5935,6731,8990,12113
11481200,7500,8663,11176,15085
1170100,3490,4292,7191,12175
1440000,2675,3040,5939,10798
11162500,4848,6252,12250,19728
3066000,3612,4524,7248,12343
2152100,5170,6340,9730,14667
13240000,1900,2161,4476,8757
9430600,4457,6524,16836,50620
12054000,6646,7738,10284,12865
2046000,3980,5845,10287,21298
7142300,1061,1810,7146,33005
7195800,1900,3370,7778,19539
1052500,6296,7997,9617,12364
1137500,6187,8397,11059,16765
11274500,4407,6259,56665,164772
3455500,5275,6851,10150,16126
2125000,7727,9655,12383,17288
11151300,2937,5830,14346,34136
2297310,4180,6680,10916,22287
1632900,3920,4790,10543,19793
5593575,7919,10379,13863,20859
3500000,5371,6876,10601,18523
2481000,7471,9024,11962,16179
2053800,7070,8090,13587,24178
9480000,3264,4625,12862,22744
3187500,7274,10500,13121,20206
7346045,6373,9991,15773,26213
1440400,4616,6936,10460,17383
3456500,6979,9503,13212,20927
3439000,6119,7941,10911,15918
5556500,6912,8347,12438,16597
1580000,6306,7552,10842,17279
2065500,3430,5956,10017,19202
6453600,4460,6653,14434,30059
12144000,8180,9221,13481,18759
12010000,7500,9461,11633,14698
6339500,5045,7243,14694,26577
12025000,8440,10400,13298,17117
3159540,4940,5896,9288,15360
6853800,2627,4905,10289,23884
9505200,5523,7349,16579,31598
2314500,6714,9703,14082,19874
6450500,4000,6850,13173,33029
3384450,7684,9819,12936,17348
2118500,7765,9104,12926,16572
3364500,6169,7733,11231,18520
14309500,8560,10546,13517,18175
2014000,6227,7279,11215,16650
3280700,7623,9530,14250,22549
6404000,866,1474,6282,24513
5466500,6303,7640,11587,16211
2053200,3560,4810,9258,19632
2479155,5650,8292,13133,24104
6876700,3663,8028,13360,31174
8066300,7160,10618,18164,37645
7149000,6575,8968,14451,22823
12013500,11018,11817,14313,16466
5062500,3893,5267,10047,19437
3144000,6656,9527,13957,22711
4213000,8490,9877,13983,19354
3049000,5665,7538,12107,21305
12092000,6945,9424,13506,21381
9484000,3120,5251,11894,28134
5408000,4463,6717,12481,27861
6350000,4253,6252,17339,35339
13338500,9164,10805,14876,20304
8109700,5799,9496,29245,81069
2070000,5138,7262,13701,29220
7299670,5021,8869,17529,39665
2245500,6427,8631,15294,29450
4056500,8647,9911,13947,19078
12175500,6630,9418,13500,23863
1055000,10600,11800,17603,25222
3015500,9987,12902,16477,22474
9497980,5326,9967,21585,64356
3488000,8835,12467,17382,27021
1544500,5098,8777,13840,27059
2081500,8271,10977,16147,24481
1013500,10500,11947,15364,19973
2369800,4377,7942,14526,31216
6352000,2732,4840,13975,35227
9497800,7842,9117,17624,29533
2111500,5238,7302,11637,19617
2074500,7797,11167,16428,28938
6188000,11779,13777,17358,22464
2246000,7700,10400,18221,31075
2450250,10818,12244,17440,24638
5362000,11819,13788,21303,30886
9494000,5274,8689,16242,33856
2069700,4399,9498,16019,40394
7373000,7361,10250,20494,44234
5291000,4010,5620,14645,30408
12411000,9714,10926,16153,23870
6406000,981,1935,8925,33785
2415000,10978,15228,20746,28753
5458000,6920,9256,18613,34699
7196900,14428,16733,28191,40680
6814000,11858,14155,26776,42363
3050000,10600,11857,17240,25706
9510200,9025,12773,28993,72876
14216500,9854,13400,18425,27736
5525500,12175,15055,23183,34967
7145700,7556,9620,18094,28677
1634500,6237,9854,18485,37674
7261000,13772,16236,22275,29773
3238500,14000,15960,20732,27729
12082500,10438,13325,19504,29848
1031500,13058,14769,22590,33092
1435000,10000,12634,20084,32652
2015700,7230,8430,16144,29580
2350900,7320,11431,19654,43247
11383500,10138,13276,21572,35324
3170000,10476,14713,21155,32588
2464000,11819,15214,20906,31489
11266500,6961,10788,18572,36138
12451000,12419,14400,19535,26378
9505800,9512,13221,34349,85566
11523200,10337,13225,22261,42053
1583500,4578,5840,12731,29170
3473000,9500,11100,18465,29046
3070500,9977,14718,20638,36229
5413500,10817,12890,26335,46084
2082950,3933,5780,13559,33590
1169000,9091,10617,18320,33585
6911900,10251,16358,25660,50331
8103900,8024,9256,24314,45672
5131500,14400,17300,24143,34160
7335700,16300,20163,30140,46246
2128000,6910,9027,16188,29384
11468500,11131,15634,25962,49570
1639500,5035,6510,12397,25459
9505350,8410,11800,31184,75985
2013000,8123,11089,18894,32606
9484600,7320,9722,20677,40170
14222500,12800,15200,21337,29957
12056500,10179,11787,18987,27762
8082700,2246,3982,16317,67995
2143000,7857,11600,18779,33911
7315200,5324,12294,28665,92792
1550000,11000,16828,24131,42737
5495000,11957,14336,22888,33182
7148400,11600,15654,31056,58625
7060710,9660,14438,28309,50508
1423000,14800,17900,25478,38956
6447000,14237,18026,25143,36402
3186500,11500,15078,22766,37254
6903400,6479,10263,19807,40074
2371500,14154,15734,26738,45203
5585000,17000,20000,30875,48631
11381500,9232,11400,20003,34295
14236200,16356,17600,26984,37879
2051500,13200,16342,24047,40441
7376000,9790,13500,22726,37399
1181000,9628,13600,23831,48519
1030500,21017,23928,30846,40434
14185000,17600,22076,29484,41822
1543000,13983,19856,30583,55583
3463300,10290,13966,25002,52202
6353000,4424,7081,20925,51761
6354000,9940,17042,37155,87624
4221000,9537,13684,21917,37734
1413500,10600,13771,23347,43694
2479300,15078,21154,29905,47931
2177000,13000,15684,25708,46064
2469800,9220,15123,25883,58191
5414000,7260,10246,21419,41247
6878000,7222,10872,20397,40899
2231000,11157,21706,33842,75423
12141300,23100,27600,34243,42572
14154500,16000,18288,25940,33146
3340800,10318,12637,23917,50958
6360500,14478,23090,40420,79535
2479560,14356,21221,30270,50298
6191500,22215,25115,30744,37091
14185900,13589,16063,24150,35945
3173000,10119,14900,23294,39616
2027500,3175,8280,18595,58018
2196000,17516,20263,30212,40680
2315500,11700,18405,27674,40861
5487980,12018,15527,28303,51471
9430500,6287,16068,35031,112859
4027000,11500,14018,23624,40782
3281100,12075,17351,26645,47927
1666500,11107,17271,30028,57241
2051000,3973,6227,15053,36268
13337000,23958,27801,34590,43884
14182500,19057,21826,30554,43878
1054200,14557,18492,30195,45974
6921200,14100,20384,32463,55859
5495500,17033,20836,33473,51760
1568000,11234,16700,26738,49544
14325000,21729,24978,35352,50013
2108000,8860,10900,22876,47456
6601000,5907,10136,21606,43625
6921070,18900,22384,32902,43084
5584500,16657,20447,35242,58341
3180500,7395,9203,18701,39644
2422500,9430,11600,23530,46508
7375000,10200,14209,28475,63462
8025500,13004,20000,37910,95573
3346000,15900,19300,30247,45452
6919500,18833,24818,38234,62278
6892000,12900,18300,30748,60618
9513780,9350,13054,44902,147447
13340600,24157,28353,35842,47022
6847900,1285,2051,12341,44029
6885500,16200,21981,40120,73234
2112120,10803,15907,30968,63150
6784000,5392,10305,22539,65343
2059500,13676,17944,30790,58577
1605500,8749,10983,24398,51544
6889500,12000,18900,30689,49962
14305500,27082,31447,40089,52204
8066200,15275,22144,37620,73317
3479000,11068,15156,28097,58677
14306500,26400,32088,39461,51715
7180500,10400,13100,26159,41850
5399500,10700,14126,25287,39610
8029500,7110,11656,28136,75267
2018000,11537,16087,25324,44225
1047000,19757,22272,34489,50084
14316700,20100,23430,33282,45543
2092500,3450,7300,15978,48583
6918460,16000,24918,46425,103185
12186000,15628,21384,34375,63046
2016000,16254,19275,31085,48512
14137000,22477,26682,42040,63501
3161000,8488,10500,23443,54661
2111180,6330,10507,23988,63570
6889200,8560,13100,28230,65626
7301500,11986,16400,38370,70988
12020000,15279,19877,30707,54880
12414500,21000,23700,35501,49384
3498500,19315,26068,39858,63762
3366500,20998,30338,39156,56925
11478500,30879,34477,45504,59428
8079600,22037,33242,62621,151061
6452000,23317,32391,47686,87841
7362100,12960,24068,43567,95482
7226500,11692,16769,36419,72797
2064000,7358,10572,25238,62207
2472500,10715,19162,34358,77942
5501000,19874,26834,41874,66351
1548500,18100,23233,41248,74172
3285000,19158,26027,37641,58890
2027000,7822,10786,22986,49549
1539000,14492,17937,36060,70186
8104900,16839,25028,53742,113639
7291000,26200,30790,43664,57873
7151500,18800,28000,50749,84109
7071500,20900,28600,64219,128764
2028500,6982,8862,23045,51710
7340300,26737,32611,51676,79732
2363000,12692,18404,39819,88078
11482500,30018,38778,52943,72633
8086290,7230,8698,25231,57121
8202700,18368,30075,862845,7788520
5412500,23935,28525,45568,70534
1350000,27400,39471,61648,113235
12167000,30776,35930,46589,58520
8013000,23589,32242,56070,89354
7184000,18814,23229,48765,111027
2472000,22800,31214,52578,91179
2374500,7000,11609,26031,70400
8150800,13257,20757,61081,147492
1632000,15737,19837,40761,75504
7315700,17316,33009,66197,167333
8164300,20330,28425,55562,102888
6917000,13300,17300,35694,66991
1667500,17700,28500,49465,97031
7197000,31830,42754,65231,97527
12035000,34832,39567,52784,68930
6888500,22500,29215,50861,82777
3281500,36095,42463,59420,89836
1543500,26254,37914,55715,95042
12041200,45900,51100,65798,83974
14301000,35100,39400,53168,67490
1552000,23800,29800,47714,80402
6441500,13538,17648,44609,99057
7295000,39800,42088,64632,82388
1644000,14057,20787,42829,94730
1532000,17994,22676,45781,95020
3574500,25900,29000,47599,70210
3237500,28800,36102,55321,84831
1144000,23300,31866,52940,96952
8189500,12016,24255,52322,99741
1664000,20467,29218,50057,93208
3213700,26546,38515,60889,105779
3182500,26719,32217,48778,76872
5489000,15994,29170,50348,109725
8200000,18437,51386,129394,325944
8194200,9428,18850,57653,254092
7290650,41606,50477,70350,101503
7167500,18304,28864,58871,107999
14400000,50711,56352,75697,95626
11528700,46314,59921,94445,161391
7066000,27000,36272,67259,123292
8070000,14160,27231,65035,165107
8175000,17351,26336,84900,297758
13340000,69038,74561,92785,113801
3069500,39131,44055,83388,150242
8101000,30600,47466,88242,190845
7014500,33800,50000,77173,113823
3604000,24200,35400,68194,125048
8014500,23958,32377,61538,121655
8165300,21796,33688,234202,1164640
2361000,14170,22512,48980,116841
12358500,25551,32446,54871,96204
12189500,47909,62441,92610,145466
8198500,19213,34786,228556,737898
11522500,32058,43518,75015,127219
8196000,14600,25500,132060,405298
5514500,41938,56820,93905,161741
3164000,33258,42569,75228,137105
8164000,24438,46351,86594,188951
11473900,62900,82572,121294,197094
1606500,24776,30780,69278,156100
7068000,51369,80342,130620,232568
7057500,27252,43531,87071,207538
12040500,88831,100056,128366,167029
7067000,56738,82627,131375,236731
8195000,34320,48700,183672,525411
7292500,85660,100608,156028,212703
7056000,70604,99736,151406,250444
8171300,35130,99090,238404,646742
6934000,60253,87777,143958,256817
8086212,19237,25722,94167,298158
11532500,111382,129898,177575,250270
8190000,48528,93090,368625,1264350
8190500,38376,57336,1911770,20761100
1195100,381,494,1207,2896
1350080,2263,4407,6230,11410
1350140,1586,2116,2838,4342
1411300,340,417,748,1336
1434025,532,658,1082,1858
1518862,7127,8690,12538,17755
1586610,3047,3594,5580,9653
1591400,2221,2405,3517,4684
1594950,325,461,786,1793
1638480,7320,9440,17985,30683
1669520,2431,2970,6107,13401
2011400,5395,7068,14822,30092
2011460,4609,6260,10767,20304
2056900,6725,7939,14458,22865
2096846,984,1625,2135,3581
2137727,10800,13600,21173,36442
2140991,15900,24328,35953,63389
2193340,2752,3532,5353,7144
2198100,1252,2775,4670,12724
2202600,4863,5612,12763,25611
2215100,3930,5869,10394,18479
2216180,1900,2248,4654,8476
2221525,5000,6395,9898,16179
2231342,1002,1399,2258,3406
2297155,1303,2318,3250,6061
2298123,2822,3888,5785,9591
2298608,3319,6606,10077,22697
2342933,8743,11924,18534,32254
2372250,12200,15288,32661,63261
2384540,1195,1480,2390,4280
2395120,2100,3180,4776,7393
2408540,15300,23500,40806,74797
2427250,10777,23125,30868,60514
2430085,1210,1663,2168,2925
2430615,945,1080,1686,2309
2464146,1193,2000,3571,7696
2464360,4542,5372,8919,15859
2465493,1196,1818,4452,11753
2481510,15500,18400,26541,36977
3010655,2983,3543,4534,5968
3021350,5179,5720,6911,8447
3300400,23283,28487,37507,53536
3338780,11988,14266,23460,38883
3592718,2854,3515,5638,8964
4015330,3697,5558,10609,22446
4024430,8509,15734,27180,61124
4115265,321,459,551,793
4127918,3560,4200,5066,6782
4161580,160,225,282,419
4197170,2097,2538,4252,7514
4213075,524,816,1215,2172
4216418,4191,5207,7064,10573
4224775,3865,5141,7844,12348
5129115,3100,3715,4726,6007
5488200,5916,15633,24252,67775
5503800,4807,7792,10814,16544
5507600,8988,10135,14264,18870
5508805,15485,16780,22412,28084
5591550,3004,3193,5507,9323
5592050,6020,10066,16177,31317
5592575,5736,6225,8248,10648
5595730,10534,16302,27432,50266
6154410,127,181,520,1248
6408700,14,17,21,30
6440200,3266,6497,14500,44989
6468250,3400,4654,16261,49563
6470800,592,1689,3459,9238
6479215,933,1219,3103,7393
6479438,2387,3766,9596,21490
6614800,49,81,102,166
6746095,170,191,242,311
6803530,5160,7280,15707,31893
6879650,3015,5909,15151,52883
6906800,33681,58936,76708,123960
6910800,16000,24100,44353,90371
7263295,10400,11900,16736,25950
7359610,29700,35800,70429,121249
7362587,10941,13083,16895,25282
8023080,7410,9450,13919,21046
8050800,6900,9271,31066,86150
8070200,15477,33600,84051,259043
8155200,8570,20784,47822,112786
8158700,9567,13828,99247,271938
8158810,6020,10265,39036,109636
8164600,7660,11000,25106,42786
8176900,22600,37833,136564,347009
8178880,25664,47989,203651,820981
9035800,140,169,247,363
9107000,948,1023,1422,1779
9306242,79,185,761,3742
9378170,110,131,290,644
9386900,547,770,1463,2495
9447800,3144,5246,27777,80627
9508300,5662,6692,16145,38944
9512280,4763,9500,25232,95390
10166430,85,116,449,1908
10336645,416,749,982,1674
10336740,7,9,17,30
10348850,123,160,671,2279
11148900,24302,37951,67022,114223
11180960,905,1227,2388,4293
11299600,2685,3006,6499,11661
11451100,7840,9034,15086,25464
11480390,8980,11300,16343,24078
12043000,27900,34766,41995,55795
12143600,9362,10930,15904,22203
12374250,149,187,364,796
12375900,233,279,439,659
12377150,516,573,752,968
12381400,595,736,1065,1519
12383500,60,67,92,128
12388400,251,279,390,573
13310700,5120,6150,8327,11759
14092750,1105,1389,2295,3548
14096850,1270,2311,4759,10610
14138870,820,1037,1414,2132
14139800,2437,3453,4072,5644
14303200,403,513,753,1140
14306340,721,986,1380,2215
14308990,3560,5371,7787,13239
14362250,174,369,750,1596
